Org,Country,URL,InDB?,LinkedIn,LinkedIn Job Count,Address,Phone number,Country,Language,Contact Form,Company Email Address,Domain Admin,Domain Technical,Team Member - Email,Other Link,Date,Person name
MOE Henry Ronson Ashkelon,Israel,,,,,,,,,,,,,,,,
CCATLAT–Centro de Capacitación en Alta Tecnología para América Latina y Caribe,Uruguay,,,,,,,,,,,,,,,,
Novocherkassk Engineering and Meliorative Institute,Russia,,,,,,,,,,,,,,,,
Surovikino Agro-industrial College,Russia,,,,,,,,,,,,,,,,
Tashkent Professional College of Information Technologies,Uzbekistan,,,,,,,,,,,,,,,,
Electro-technical School Varazdin,Croatia,,,,,,,,,,,,,,,,
Universidad César Vallejo Lima Norte,Peru,,,,,,,,,,,,,,,,
IEMS ASC-Central,Mexico,,,,,,,,,,,,,,,,
IISS Elena di Savoia-Calamandrei - Bari,Italy,,,,,,,,,,,,,,,,
Kecskemeti SZC Grof Karolyi Sandor Technikum,Hungary,,,,,,,,,,,,,,,,
Universidad del Sagrado Corazón,Puerto Rico,,,,,,,,,,,,,,,,
المركز الوطني للبحث العلمي و التقني,Morocco,,,,,,,,,,,,,,,,
Dackeskolan,Sweden,,,,,,,,,,,,,,,,
"EE-programmet, Dator och kommunikationsteknik",Sweden,,,,,,,,,,,,,,,,
"Colegiul National Mihai Eminescu, oradea",Romania,,,,,,,,,,,,,,,,
Odessa Technical College,Ukraine,,,,,,,,,,,,,,,,
Scuola delle Trasmissioni e Informatica Roma,Italy,,,,,,,,,,,,,,,,
PZSP Legionowo,Poland,,,,,,,,,,,,,,,,
Mardin Artuklu University,Turkey,,,,,,,,,,,,,,,,
GA SS ELELE,Nigeria,,,,,,,,,,,,,,,,
Waterdown District High,Canada,,,,,,,,,,,,,,,,
SBSZ Hildburghausen,Germany,,,,,,,,,,,,,,,,
Gewerblich-industrielle Berufsfachschule Muttenz,Switzerland,,,,,,,,,,,,,,,,
Universidad Justo Sierra,Mexico,,,,,,,,,,,,,,,,
Universidad Estatal del Valle de Ecatepec,Mexico,,,,,,,,,,,,,,,,
ETS Nikola Tesla Beograd,Serbia,,,,,,,,,,,,,,,,
Zespół Szkół Energetycznych w Krakowie,Poland,,,,,,,,,,,,,,,,
DS Academy,Turkey,,,,,,,,,,,,,,,,
Ahva Secondary School-Yarka,Israel,,,,,,,,,,,,,,,,
Zernogradsky Pedagogical College,Russia,,,,,,,,,,,,,,,,
ISIL/TECH Extension profesional ISIL,Peru,,,,,,,,,,,,,,,,
Lycée Catherine et Raymond JANOT,France,,,,,,,,,,,,,,,,
Haapsalu Kutsehariduskeskus,Estonia,,,,,,,,,,,,,,,,
Veleučilište Velika Gorica,Croatia,,,,,,,,,,,,,,,,
Efficom Lille,France,,,,,,,,,,,,,,,,
Enaip Svizzera,Switzerland,,,,,,,,,,,,,,,,
HSZC Makói Návay Lajos Technikum és Kollégium,Hungary,,,,,,,,,,,,,,,,
IFIAG-RABAT,Morocco,,,,,,,,,,,,,,,,
"Colegiul National „Emanuil Gojdu” , Oradea",Romania,,,,,,,,,,,,,,,,
Universidad Cooperativa de Colombia Sede Cali,Colombia,,,,,,,,,,,,,,,,
广州华立科技职业技术学院,China,,,,,,,,,,,,,,,,
Zespół Szkół i Placówek Oświatowych im. S. Dariusa i S. Girenasa w Myśliborzu,Poland,,,,,,,,,,,,,,,,
"A.R.I.F.A. - Associação Dos Reformados e Idosos da Freguesia da Amora
Rua Cidade de Maputo, nº3, 2845-572, Amora, Seixal, Setúbal, PortugalRua Cidade de Maputo, nº2,4,6,2845-572, Amora, Seixal, Setúbal, Portuguesa
2845-572 Seixal
Portugal",,,,,,,,,,,,,,,,,
Lycée Ligier Richier,France,,,,,,,,,,,,,,,,
ITCA-FEPADE Santa Ana,El Salvador,,,,,,,,,,,,,,,,
Zhongshan Torch Polytechnic,China,,,,,,,,,,,,,,,,
Berufskolleg Hilden,Germany,,,,,,,,,,,,,,,,
GSS ISIOKPO,Nigeria,,,,,,,,,,,,,,,,
Istanbul International Community School,Turkey,,,,,,,,,,,,,,,,
Michalicki Zespol Szkol Ponadpodstawowych im. ks. Bronislawa Markiewicza,Poland,,,,,,,,,,,,,,,,
Cégep de Sept-Iles,Canada,,,,,,,,,,,,,,,,
WCI,Canada,,,,,,,,,,,,,,,,
EntrEscolhas Geração D'Ouro,Portugal,,,,,,,,,,,,,,,,
Collège O'Sullivan de Québec,Canada,,,,,,,,,,,,,,,,
"КГУ ""Опорная школа (ресурсный центр) №12 города Абай""",Kazakhstan,,,,,,,,,,,,,,,,
Instituto de Educacion Media Superior - Benito Juárez,Mexico,,,,,,,,,,,,,,,,
Liceul Tehnologic Gabor Aron,Romania,,,,,,,,,,,,,,,,
Matematička gimnazija,Serbia,,,,,,,,,,,,,,,,
Zespół Szkół Mechanicznych nr 3,Poland,,,,,,,,,,,,,,,,
CuoreMenteLab,Italy,,,,,,,,,,,,,,,,
Technical University of Mombasa,Kenya,,,,,,,,,,,,,,,,
Institute for Research ITB - InformIT,Indonesia,,,,,,,,,,,,,,,,
Bataysk Technical School of Information Technologies and Radioelectronics Donintech,Russia,,,,,,,,,,,,,,,,
Lycée des métiers Jacques Prevert,France,,,,,,,,,,,,,,,,
LP Claude CHAPPE,France,,,,,,,,,,,,,,,,
Groupe Scolaire des 2 rives,France,,,,,,,,,,,,,,,,
Polytechnic of Medjimurje in Cakovec,Croatia,,,,,,,,,,,,,,,,
IST JUAN DE VELASCO,Ecuador,,,,,,,,,,,,,,,,
Berufliches Schulzentrum Neumarkt,Germany,,,,,,,,,,,,,,,,
Matrix Academy,Israel,,,,,,,,,,,,,,,,
Ecole Nationale d'Ingénieurs de Carthage,Tunisia,,,,,,,,,,,,,,,,
CFP La Marina. Regional Huetar Norte,Costa Rica,,,,,,,,,,,,,,,,
中山职业技术学院计算机系,China,,,,,,,,,,,,,,,,
CFAI Poitou Form'Avenir,France,,,,,,,,,,,,,,,,
Wyzsza Szkola Komunikacji i Zarzadzania,Poland,,,,,,,,,,,,,,,,
OVH Group,France,,,,,,,,,,,,,,,,
Chernihiv National University of Technology,Ukraine,,,,,,,,,,,,,,,,
Institut MultiHexa Rabat,Morocco,,,,,,,,,,,,,,,,
Universidad Tecnológica del Sur del Estado de Morelos,Mexico,,,,,,,,,,,,,,,,
Lycée Professionnel Clément Ader,France,,,,,,,,,,,,,,,,
CSS ELELE,Nigeria,,,,,,,,,,,,,,,,
University of Malaya,Malaysia,,,,,,,,,,,,,,,,
E.S.C. Saint-Joseph,Canada,,,,,,,,,,,,,,,,
广东建设职业技术学院思科网院,China,,,,,,,,,,,,,,,,
"Wah Yan College, Hong Kong",Hong Kong,,,,,,,,,,,,,,,,
Werner-von-Siemens-Schule - Hildesheim,Germany,,,,,,,,,,,,,,,,
Unistream,Israel,,,,,,,,,,,,,,,,
BBS Osnabrueck,Germany,,,,,,,,,,,,,,,,
I.I.S. Ferraris-Pacioli - Sede ITC,Italy,,,,,,,,,,,,,,,,
IES Sa Colomina,Spain,,,,,,,,,,,,,,,,
North Ossetia Medical College,Russia,,,,,,,,,,,,,,,,
Zaporozhie Gymnasium # 71,Ukraine,,,,,,,,,,,,,,,,
Universidad Bicentenaria de Aragua,Venezuela,,,,,,,,,,,,,,,,
Formation STRI - Université Toulouse III,France,,,,,,,,,,,,,,,,
SOFTTECH SWAZILAND,Eswatini,,,,,,,,,,,,,,,,
ELCC,Egypt,,,,,,,,,,,,,,,,
Don State Agrarian University,Russia,,,,,,,,,,,,,,,,
Düzce Üniversitesi,Turkey,,,,,,,,,,,,,,,,
Szolnoki Szakképzési Centrum Jendrassik György Gépipari Szakgimnáziuma,Hungary,,,,,,,,,,,,,,,,
Uttarakhand Open University,India,,,,,,,,,,,,,,,,
Instituto Tecnologico de Estudios Superiores de la Region Carbonifera,Mexico,,,,,,,,,,,,,,,,
Dream Professional Institute,Ghana,,,,,,,,,,,,,,,,
Escola Secundária Domingos Rebelo,Portugal,,,,,,,,,,,,,,,,
Frederick University Nicosia,Cyprus,,,,,,,,,,,,,,,,
Greater Essex County District School Board,Canada,,,,,,,,,,,,,,,,
IIS Piazza della Resistenza di Monterotondo,Italy,,,,,,,,,,,,,,,,
branco weiss,Israel,,,,,,,,,,,,,,,,
EPSI,France,,,,,,,,,,,,,,,,
University Electronic Science and Technology of China Zhongshan Institute,China,,,,,,,,,,,,,,,,
Academic House,Georgia,,,,,,,,,,,,,,,,
Digital World Training Center,Kosovo,,,,,,,,,,,,,,,,
"Colegiul Tehnic ""Traian Vuia"" Oradea",Romania,,,,,,,,,,,,,,,,
Gokaraju Rangaraju Institute of Engineering and Technology,India,,,,,,,,,,,,,,,,
Visions and Achievements in Skills and Technology (Ferzol),Lebanon,,,,,,,,,,,,,,,,
Lycée CONDORCET Montreuil,France,,,,,,,,,,,,,,,,
Universiti Malaysia Terengganu,Malaysia,,,,,,,,,,,,,,,,
Zespół Szkół Nr 4 im. Mikołaja Kopernika w Dębicy,Poland,,,,,,,,,,,,,,,,
"Instituto Tecnológico Superior ""Ibarra""",Ecuador,,,,,,,,,,,,,,,,
Zespol Szkol Licealnych i Technicznych nr 1,Poland,,,,,,,,,,,,,,,,
Lycée Jean-Baptiste SAY - Paris,France,,,,,,,,,,,,,,,,
ICSS IGWURUTA,Nigeria,,,,,,,,,,,,,,,,
Tianhe Vocational High School of Guangzhou,China,,,,,,,,,,,,,,,,
BTS IRIS - Lycée Dhuoda,France,,,,,,,,,,,,,,,,
СОШ №15,Kazakhstan,,,,,,,,,,,,,,,,
lycee LMD,France,,,,,,,,,,,,,,,,
Projeto ST-E5G,Portugal,,,,,,,,,,,,,,,,
Middlesex University (Mauritius Branch Campus),Mauritius,,,,,,,,,,,,,,,,
Instituto Tecnológico Superior de Santiago Papasquiaro,Mexico,,,,,,,,,,,,,,,,
Georg-Büchner-Gymnasium,Germany,,,,,,,,,,,,,,,,
CIPFP Mislata,Spain,,,,,,,,,,,,,,,,
University of Tourism Technology and Business Studies(UTB),Rwanda,,,,,,,,,,,,,,,,
Zespół Szkół Nr 3 im. Władysława Grabskiego w Kutnie,Poland,,,,,,,,,,,,,,,,
VKR & VNB POLYTECHNIC,India,,,,,,,,,,,,,,,,
Lycee Ozenne,France,,,,,,,,,,,,,,,,
Hong Kong Institute of Vocational Education (Chai Wan),Hong Kong,,,,,,,,,,,,,,,,
Center for Gifted Children - Poisk,Russia,,,,,,,,,,,,,,,,
IES Belén,Spain,,,,,,,,,,,,,,,,
Institución Educativa Gaspar de Rodas,Colombia,,,,,,,,,,,,,,,,
Universidad para el Desarrollo Andino,Peru,,,,,,,,,,,,,,,,
Fundación Costa Rica para la innovación,Costa Rica,,,,,,,,,,,,,,,,
SPS Komarno,Slovakia,,,,,,,,,,,,,,,,
Kehtna Kutsehariduskeskus,Estonia,,,,,,,,,,,,,,,,
SAN ROQUE,Peru,,,,,,,,,,,,,,,,
EPSI,France,,,,,,,,,,,,,,,,
IIS Enzo Ferrari-HERTZ,Italy,,,,,,,,,,,,,,,,
哈尔滨华德学院,China,,,,,,,,,,,,,,,,
UNITeS Academy,Nigeria,,,,,,,,,,,,,,,,
NetacadOradea,Romania,,,,,,,,,,,,,,,,
Collège LaSalle International,Tunisia,,,,,,,,,,,,,,,,
IMIT SURINAME,Suriname,,,,,,,,,,,,,,,,
Instituto de Gestão Financeira e Equipamentos da Justiça I.P,Portugal,,,,,,,,,,,,,,,,
Dehradun Institute of Technology,India,,,,,,,,,,,,,,,,
LOST,Lebanon,,,,,,,,,,,,,,,,
SGGW,Poland,,,,,,,,,,,,,,,,
LP JULES FIL Carcassonne,France,,,,,,,,,,,,,,,,
Kautilya Institute of Technology and Engineering,India,,,,,,,,,,,,,,,,
Lycée La Fayette-Fontaineroux,France,,,,,,,,,,,,,,,,
Vardhaman College of Engineering,India,,,,,,,,,,,,,,,,
CSS APANI,Nigeria,,,,,,,,,,,,,,,,
MONLAU CENTRE D'ESTUDIS,Spain,,,,,,,,,,,,,,,,
ISP-GOMBE TIC Training Centre,Democratic Republic of the Congo,,,,,,,,,,,,,,,,
Projeto Lagarteiro e o Mundo,Portugal,,,,,,,,,,,,,,,,
Alfold Szakkepzo Nonprofit Kozhasznu Kft.,Hungary,,,,,,,,,,,,,,,,
Syndicat Mixte des Inforoutes,France,,,,,,,,,,,,,,,,
Bissau,Guinea-Bissau,,,,,,,,,,,,,,,,
Colegio Nacional de Educación Profesional Técnica Plantel Tampico,Mexico,,,,,,,,,,,,,,,,
IES Galileo,Spain,,,,,,,,,,,,,,,,
XII Liceum Ogolnoksztalcace im. C. K. Norwida w Krakowie,Poland,,,,,,,,,,,,,,,,
Adarsh College of Engineering 2nd Shift Polytechnic,India,,,,,,,,,,,,,,,,
Vladikavkaz College of Construction,Russia,,,,,,,,,,,,,,,,
AFPA Toulouse-Balma,France,,,,,,,,,,,,,,,,
Hillside College,Eswatini,,,,,,,,,,,,,,,,
Nevinnomyssk School #20,Russia,,,,,,,,,,,,,,,,
Черкаський державний технологічний університет,Ukraine,,,,,,,,,,,,,,,,
IT_Lycée LAFAYETTE,France,,,,,,,,,,,,,,,,
Vysoká škola ekonomická,Czechia,,,,,,,,,,,,,,,,
Bundesnetzagentur Ausbildungsstelle Augsburg,Germany,,,,,,,,,,,,,,,,
Lycée Darras Liévin,France,,,,,,,,,,,,,,,,
Obafemi Awolowo University,Nigeria,,,,,,,,,,,,,,,,
Information Engineering College of Chongqing Vocational Institute of Engineering,China,,,,,,,,,,,,,,,,
INSTITUT DES HAUTES ETUDES DE TUNIS,Tunisia,,,,,,,,,,,,,,,,
IUT Aix-Marseille - Dpt GEII Salon,France,,,,,,,,,,,,,,,,
Rwanda Development Board (RDB),Rwanda,,,,,,,,,,,,,,,,
AGEFOP,Côte d'Ivoire,,,,,,,,,,,,,,,,
College of Information Engineering of Jilin Engineering Normal University,China,,,,,,,,,,,,,,,,
Multimedia University College of Kenya,Kenya,,,,,,,,,,,,,,,,
Lycée Langevin-Wallon-Informatique et Réseaux,France,,,,,,,,,,,,,,,,
UNITeS Academy,Nigeria,,,,,,,,,,,,,,,,
Vocational college Pazisi,Georgia,,,,,,,,,,,,,,,,
ISTA Errachidia,Morocco,,,,,,,,,,,,,,,,
Rudbeck,Sweden,,,,,,,,,,,,,,,,
IES Mestre Ramón Esteve,Spain,,,,,,,,,,,,,,,,
Mangalmay Institute of Management & Technology,India,,,,,,,,,,,,,,,,
Zespol Szkol Agro-Technicznych w Ropczycach,Poland,,,,,,,,,,,,,,,,
Foundation for Economic Education (L),Poland,,,,,,,,,,,,,,,,
Chongqing Institute of Engineering,China,,,,,,,,,,,,,,,,
Lycee Gaston Bachelard,France,,,,,,,,,,,,,,,,
INSTITUT NATIONAL DE PREPARATION PROFESSIONNELLE-BENI,Democratic Republic of the Congo,,,,,,,,,,,,,,,,
Dedan Kimathi University of Technology,Kenya,,,,,,,,,,,,,,,,
CSS UBIMA,Nigeria,,,,,,,,,,,,,,,,
Dawson College,Canada,,,,,,,,,,,,,,,,
Universidad Tecnológica de Tijuana,Mexico,,,,,,,,,,,,,,,,
Universidad DaVinci - Sede Ciudad de Guatemala,Guatemala,,,,,,,,,,,,,,,,
IIS Tecnico-Professionale Spoleto,Italy,,,,,,,,,,,,,,,,
Hong Kong College of Technology,Hong Kong,,,,,,,,,,,,,,,,
Торгово-экономический колледж Казпотребсоюза,Kazakhstan,,,,,,,,,,,,,,,,
Conalep Matamoros 055,Mexico,,,,,,,,,,,,,,,,
IUT de Kourou,French Guiana,,,,,,,,,,,,,,,,
BSZ Otto Lilienthal Freital-Dippoldiswalde,Germany,,,,,,,,,,,,,,,,
Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie,Poland,,,,,,,,,,,,,,,,
TADIPATRI ENGINEERING COLLEGE II SHIFT POLYTECHNIC,India,,,,,,,,,,,,,,,,
Université de Toulouse,France,,,,,,,,,,,,,,,,
MOE,Israel,,,,,,,,,,,,,,,,
Karnataka German Technical Training Institute Belagavi,India,,,,,,,,,,,,,,,,
Stredná odborná škola automobilová,Slovakia,,,,,,,,,,,,,,,,
AKTOBE BIL,Kazakhstan,,,,,,,,,,,,,,,,
EURO Highschool,Hungary,,,,,,,,,,,,,,,,
María Goretti,Peru,,,,,,,,,,,,,,,,
UVM Campus Queretaro,Mexico,,,,,,,,,,,,,,,,
Edge Brains,Nigeria,,,,,,,,,,,,,,,,
DEFITECH,Togo,,,,,,,,,,,,,,,,
Vancouver Island University,Canada,,,,,,,,,,,,,,,,
IISS E. Fermi Lecce - Italia,Italy,,,,,,,,,,,,,,,,
Stredni skola automobilni a informatiky Praha,Czechia,,,,,,,,,,,,,,,,
Вінницький технічний коледж,Ukraine,,,,,,,,,,,,,,,,
"Simbioza Genesis, socialno podjetje",Slovenia,,,,,,,,,,,,,,,,
Lycée Technique AL FARABI,Morocco,,,,,,,,,,,,,,,,
St NicolasSN,France,,,,,,,,,,,,,,,,
Institute of Technology & Management Meerut,India,,,,,,,,,,,,,,,,
ZSO w Stalowej Woli,Poland,,,,,,,,,,,,,,,,
INSTITUT NATIONAL DE PREPARATION PROFESSIONNELLE-BUTEMBO,Democratic Republic of the Congo,,,,,,,,,,,,,,,,
Cody,Germany,,,,,,,,,,,,,,,,
CSS UBIMA,Nigeria,,,,,,,,,,,,,,,,
Holy Mary Institute of Technology and Science,India,,,,,,,,,,,,,,,,
IES Narcís Monturiol,Spain,,,,,,,,,,,,,,,,
Tomsk School #51,Russia,,,,,,,,,,,,,,,,
SPSE Havirov,Czechia,,,,,,,,,,,,,,,,
"Collège Clémence Isaure, Toulouse",France,,,,,,,,,,,,,,,,
IIS Cobianchi,Italy,,,,,,,,,,,,,,,,
IV Liceum Ogolnoksztalcace i Gimnazjum Dwujezyczne nr 4 w Toruniu,Poland,,,,,,,,,,,,,,,,
Transversal Foundation,Haiti,,,,,,,,,,,,,,,,
CFP SENATI CAÑETE,Peru,,,,,,,,,,,,,,,,
SRI KRISHNADEVARAYA ENGINEERING COLLEGE II SHIFT POLYTECHNIC,India,,,,,,,,,,,,,,,,
Password Technical College,Puerto Rico,,,,,,,,,,,,,,,,
Krasnodar Gymnasium #87,Russia,,,,,,,,,,,,,,,,
Macau Productivity and Technology Transfer Center,Macau,,,,,,,,,,,,,,,,
Secondary school № 99 in Kyiv,Ukraine,,,,,,,,,,,,,,,,
Szkoła testowa,Poland,,,,,,,,,,,,,,,,
Instituto Profesional Santo Tomas - Sede La Serena,Chile,,,,,,,,,,,,,,,,
"КГУ""школа-лицей №72""",Kazakhstan,,,,,,,,,,,,,,,,
IFA Jean-Paul THOMAS,France,,,,,,,,,,,,,,,,
Zespol Szkol w Jaroslawiu im. Ksiazat Czartoryskich,Poland,,,,,,,,,,,,,,,,
Instituto para la Sociedad de la Información,Peru,,,,,,,,,,,,,,,,
YOBEL,Nigeria,,,,,,,,,,,,,,,,
"School of Information Engineering,Zhengzhou Institute of Technology",China,,,,,,,,,,,,,,,,
ITCG Carlo Matteucci di Roma,Italy,,,,,,,,,,,,,,,,
ENSET-Mohammadia,Morocco,,,,,,,,,,,,,,,,
Тюменский Государственный Университет,Russia,,,,,,,,,,,,,,,,
Universidad Nacional Agraria de la Selva,Peru,,,,,,,,,,,,,,,,
Lycée Professionnel Renée Bonnet,France,,,,,,,,,,,,,,,,
Bracebridge Public Library,Canada,,,,,,,,,,,,,,,,
Berufliches Schulzentrum für Wirtschaft und Datenverarbeitung,Germany,,,,,,,,,,,,,,,,
INSTITUT NATIONAL DE PREPARATION PROFESSIONNELLE-RUTSHURU,Democratic Republic of the Congo,,,,,,,,,,,,,,,,
University of Applied Sciences,Lithuania,,,,,,,,,,,,,,,,
CSS OMUANWA,Nigeria,,,,,,,,,,,,,,,,
Arab Center for IT,Palestine,,,,,,,,,,,,,,,,
Tomsk School #15,Russia,,,,,,,,,,,,,,,,
IIS E. AMALDI,Italy,,,,,,,,,,,,,,,,
Zespół Szkół im. Stanisława Staszica w Zawierciu,Poland,,,,,,,,,,,,,,,,
Gimnazjum nr 2 w Nowym Targu,Poland,,,,,,,,,,,,,,,,
KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE-II SHIFT POLYTECHNIC,India,,,,,,,,,,,,,,,,
Zespol Szkol Ogolnoksztalcacych Nr 2,Poland,,,,,,,,,,,,,,,,
Municipalidad de Lima,Peru,,,,,,,,,,,,,,,,
Fatma Elzahraa Exp,Egypt,,,,,,,,,,,,,,,,
SENATI-SEDE CAJAMARCA,Peru,,,,,,,,,,,,,,,,
Pusat Latihan Felda Prodata (Caw. Chini),Malaysia,,,,,,,,,,,,,,,,
Universiti Teknologi MARA Cawangan Selangor,Malaysia,,,,,,,,,,,,,,,,
ENTA - Escola de Novas Tecnologias dos Açores,Portugal,,,,,,,,,,,,,,,,
Universidad Autónoma de Centro América-Sede Cipreses,Costa Rica,,,,,,,,,,,,,,,,
Lycée Dampierre,France,,,,,,,,,,,,,,,,
Colegiul Tehnic Motru,Romania,,,,,,,,,,,,,,,,
Kibera Town Centre,Kenya,,,,,,,,,,,,,,,,
Faculty of Informatics University of Debrecen,Hungary,,,,,,,,,,,,,,,,
華梵大學,Taiwan,,,,,,,,,,,,,,,,
Utkalmani Gopabandhu Institute of Engineering,India,,,,,,,,,,,,,,,,
Nizhnekamsk Polytechnical College n.a. E.A. Korolev,Russia,,,,,,,,,,,,,,,,
ChongQing University of Post and Telecom,China,,,,,,,,,,,,,,,,
Карагандинский государственный технический университет,Kazakhstan,,,,,,,,,,,,,,,,
Lycee F. ARAGO,France,,,,,,,,,,,,,,,,
КГУ Средняя Образовательная Школа №23,Kazakhstan,,,,,,,,,,,,,,,,
VIGNAN INSTITUTE OF TECHNOLOGY & SCIENCE(TASK),India,,,,,,,,,,,,,,,,
المعهد العالي للتقنية الصناعية النجيلة,Libya,,,,,,,,,,,,,,,,
CSS ALUU,Nigeria,,,,,,,,,,,,,,,,
Netsole,Pakistan,,,,,,,,,,,,,,,,
SENATI - UCP Iquitos,Peru,,,,,,,,,,,,,,,,
Mogochin School,Russia,,,,,,,,,,,,,,,,
Moscow School #1155,Russia,,,,,,,,,,,,,,,,
Eduard Spranger Schule Freudenstadt,Germany,,,,,,,,,,,,,,,,
Colegio Nacional de Educación Profesional Técnica Plantel Cd. Mante,Mexico,,,,,,,,,,,,,,,,
Centrum Kształcenia Zawodowego i Ustawicznego w Brodnicy,Poland,,,,,,,,,,,,,,,,
Centrum Nauki i Biznesu Zak Oddzial w Toruniu,Poland,,,,,,,,,,,,,,,,
"Veres Peter Gimnazium, Szakkozepiskola es Szakkepzo",Hungary,,,,,,,,,,,,,,,,
Evelyn Hone College,Zambia,,,,,,,,,,,,,,,,
gan nachum school,Israel,,,,,,,,,,,,,,,,
Southern Alberta Institute of Technology,Canada,,,,,,,,,,,,,,,,
SENATI - Sede Yurimaguas,Peru,,,,,,,,,,,,,,,,
Lycée Thomas Edison,France,,,,,,,,,,,,,,,,
Colegio Maya International School,Guatemala,,,,,,,,,,,,,,,,
Institut Informatique et Entreprise,France,,,,,,,,,,,,,,,,
CECYTEG,Mexico,,,,,,,,,,,,,,,,
Abdullah Gul University,Turkey,,,,,,,,,,,,,,,,
IKK Hungaria Nonprofit Kft.,Hungary,,,,,,,,,,,,,,,,
NRK,Cameroon,,,,,,,,,,,,,,,,
Ataturk Voc. Tec. High School,Turkey,,,,,,,,,,,,,,,,
